date,fund_growth,benchmark_growth,fund_minus_benchmark
2022-08-16,404.9207217058502,255.22287578878004,149.69784591707017
2022-08-17,408.36522689994536,255.32740924239235,153.037817657553
2022-08-18,410.93493712411157,253.65515588839781,157.27978123571376
2022-08-22,402.95243302351014,250.93783228309485,152.0146007404153
2022-08-23,402.351011481684,247.07076402097013,155.28024746071387
2022-08-24,407.8731547293603,246.44370425119743,161.42945047816286
2022-08-25,406.56096227446693,248.74303499395228,157.81792728051465
2022-08-29,404.2646254784035,243.62182957329455,160.64279590510895
2022-08-30,406.67031164570807,244.03987529280556,162.6304363529025
2022-08-31,397.3756150902133,245.81662686243712,151.55898822777615
2022-09-01,397.3756150902133,240.695439060767,156.68017602944627
2022-09-05,390.5959540732641,238.60519284422438,151.99076122903975
2022-09-06,387.42482230727177,240.17287750663135,147.25194480064042
2022-09-07,393.2750136686715,234.52912815082558,158.7458855178459
2022-09-12,399.4532531437944,241.2180182338903,158.23523490990414
2022-09-13,398.3597594313833,242.4722082493862,155.88755118199708
2022-09-14,396.50082012028435,237.56001687899015,158.9408032412942
2022-09-15,392.8376161837069,237.97808021748878,154.85953596621815
2022-09-19,394.5872061235648,234.21559826593924,160.37160785762555
2022-09-20,392.8376161837069,236.3058621014695,156.53175408223743
2022-09-21,393.93110989611813,234.3201141005639,159.61099579555423
2022-09-22,385.5658829961728,231.49822180367337,154.0676611924994
2022-09-26,376.763258611263,225.0183810088456,151.74487760241738
2022-09-27,361.071623838163,224.704815885984,136.36680795217902
2022-09-28,361.2903225806452,220.00170904180015,141.28861353884503
2022-09-29,362.98523783488247,219.27009819942757,143.7151396354549
2022-10-03,367.6872607982504,213.6263488436218,154.0609119546286
2022-10-04,371.56916347731,219.06106653017824,152.50809694713175
2022-10-05,376.6539092400219,224.18225433184836,152.47165490817355
2022-10-06,372.4986331328595,225.74997423223058,146.7486589006289
2022-10-11,353.0344450519409,210.49094428083257,142.54350077110834
2022-10-12,343.08365226899946,209.44578593458598,133.63786633441347
2022-10-13,350.24603608529253,206.9374763795447,143.30855970574783
2022-10-17,345.92673592126846,208.92322438045034,137.00351154081812
2022-10-18,343.35702569710224,211.3270533388422,132.02997235826004
2022-10-19,339.5844723892838,208.50517866093932,131.07929372834448
2022-10-20,334.06232914160745,207.35552209905572,126.70680704255173
2022-10-24,329.96172772006565,206.1013320835598,123.86039563650584
2022-10-25,328.75888463641337,202.12983608174858,126.62904855466479
2022-10-26,339.4204483324221,204.01108586701716,135.40936246540494
2022-10-27,337.7802077638054,206.9374763795447,130.84273138426067
2022-10-31,346.0360852925096,207.04199221416937,138.99409307834023
2022-11-01,348.6604702022964,208.19164877605297,140.4688214262434
2022-11-02,349.80863860032804,209.02774021507497,140.78089838525307
2022-11-03,350.7381082558776,206.31038137179675,144.42772688408084
2022-11-07,352.15965008201204,210.17741439594622,141.98223568606582
2022-11-08,358.5565882996173,212.37217644711353,146.18441185250379
2022-11-09,355.87752870420996,218.43400676040557,137.4435219438044
2022-11-10,365.88299617277204,216.34370768690002,149.53928848587202
2022-11-14,372.6626571897212,229.9305371412664,142.7321200484548
2022-11-15,376.6539092400219,239.75481416813273,136.89909507188918
2022-11-16,378.130125751777,239.33678606760935,138.79333968416762
2022-11-17,376.3805358119191,239.44128428324638,136.93925152867274
2022-11-21,377.80207763805356,237.97808021748878,139.82399742056478
2022-11-22,381.08255877528705,239.96388107535728,141.11867769992978
2022-11-23,387.64352104975404,241.63608157238895,146.0074394773651
2022-11-24,385.40185893931107,243.9353770771685,141.46648186214256
2022-11-28,384.19901585565884,239.02322094474775,145.1757949109111
2022-11-29,389.6118097320941,241.2180182338903,148.39379149820383
2022-11-30,395.4620010934937,243.20376623479592,152.2582348586978
2022-12-01,398.2504100601422,247.3843115248441,150.8660985352981
2022-12-05,394.6965554948059,245.50307935856313,149.1934761362428
2022-12-06,386.60470202296335,241.0090041836286,145.59569783933475
2022-12-07,388.3542919628212,239.54580011787104,148.80849184495017
2022-12-08,391.2520503007108,236.72394305895577,154.528107241755
2022-12-12,384.96446145434663,238.0826136711011,146.88184778324555
2022-12-13,392.8376161837069,237.03745532485448,155.80016085885245
2022-12-14,392.5642427556042,239.96388107535728,152.60036168024692
2022-12-15,387.47949699289234,240.17287750663135,147.30661948626098
2022-12-19,371.6785128485511,234.84267565469955,136.83583719385157
2022-12-20,373.428102788409,230.5576145300267,142.87048825838227
2022-12-21,376.6539092400219,231.49822180367337,145.15568743634853
2022-12-22,372.99070530344454,235.36521958984758,137.62548571359696
2022-12-26,374.7402952433024,232.229832646046,142.5104625972564
2022-12-27,367.63258611262984,233.27497337330493,134.3576127393249
2022-12-28,369.27282668124667,229.9305371412664,139.34228953998027
2022-12-29,369.8195735374522,228.88537879501982,140.93419474243237
2023-01-03,376.98195735374526,231.49822180367337,145.48373555007188
2023-01-04,375.34171678512854,230.97566024953773,144.36605653559081
2023-01-05,377.85675232367413,232.64789598454462,145.2088563391295
2023-01-09,384.2536905412794,242.05414491088757,142.19954563039184
2023-01-10,385.784581738655,242.99476980352185,142.78981193513314
2023-01-11,383.65226899945327,243.20376623479592,140.44850276465735
2023-01-12,384.58173865500277,242.15862550753695,142.4231131474658
2023-01-16,387.8622197922362,246.8617852086837,141.0004345835525
2023-01-30,398.8518316019683,257.9758602250473,140.87597137692097
2023-01-31,403.1164570803718,252.84628578526505,150.27017129510673
2023-02-01,410.77091306724986,254.34241973890423,156.42849332834564
2023-02-02,411.1536358665938,258.61706804188736,152.53656782470642
2023-02-06,408.4199015855659,254.8767331577895,153.54316842777644
2023-02-07,415.6369600874795,254.34241973890423,161.29454034857528
2023-02-08,414.98086386003285,258.2964905619488,156.68437329808404
2023-02-09,412.90322580645164,258.40334972192835,154.4998760845233
2023-02-13,412.0831055221433,258.08275462300213,154.00035089914115
2023-02-14,410.82558775287043,260.0063604545346,150.81922729833582
2023-02-15,418.15199562602515,254.021824639978,164.13017098604715
2023-02-16,415.96500820120286,257.12095170723586,158.844056493967
2023-02-20,422.68999453253144,254.34241973890423,168.34757479362722
2023-02-21,413.77802077638063,254.2355605789247,159.54246019745594
2023-02-22,422.6353198469109,251.4570462295807,171.17827361733018
2023-02-23,425.53307818480044,255.19734587570332,170.33573230909712
2023-03-01,427.6653909240022,255.09046909673617,172.57492182726605
2023-03-02,426.46254784034994,254.8767331577895,171.58581468256045
2023-03-06,433.624931656643,257.5484235851292,176.07650807151379
2023-03-07,434.9371241115364,259.2582758587274,175.67884825280896
2023-03-08,435.81191908146525,257.12095170723586,178.6909673742294
2023-03-09,426.24384909786767,256.9072157682892,169.3366333295785
2023-03-13,417.3318753417168,253.9149830989861,163.41689224273068
2023-03-14,422.4166211044287,251.13643351166687,171.28018759276185
2023-03-15,421.43247676325865,251.3501518316259,170.08232493163274
2023-03-16,433.7342810278841,250.1746482148882,183.5596328129959
2023-03-20,442.64625478403497,252.41883152635933,190.22742325767564
2023-03-21,447.5123018042646,253.59435276208464,193.91794904217997
2023-03-22,449.3712411153636,258.40334972192835,190.96789139343525
2023-03-23,451.9956260251504,260.43381471344037,191.56181131171002
2023-03-27,444.61454346637504,259.57888857664125,185.0356548897338
2023-03-28,440.6779661016949,257.33468764618254,183.34327845551235
2023-03-29,442.3182066703117,257.7621595240759,184.5560471462358
2023-03-30,445.3253143794423,259.04453991978073,186.2807744596616
2023-04-06,444.3958447238929,258.61706804188736,185.7787766820055
2023-04-10,456.58829961727724,258.61706804188736,197.97123157538988
2023-04-11,459.8687807545107,258.2964905619488,201.57229019256187
2023-04-12,450.4100601421542,257.65528274510876,192.75477739704542
2023-04-13,452.7610716238382,255.4110641956624,197.3500074281758
2023-04-17,451.5582285401859,257.227828486203,194.33040005398288
2023-04-18,449.1525423728814,256.3728847304163,192.7796576424651
2023-04-19,444.50519409513396,254.44929651787137,190.05589757726258
2023-04-20,435.4291962821214,254.12868379995754,181.30051248216384
2023-04-24,421.15910333515586,252.52567306735122,168.63343026780464
2023-04-25,420.9404045926736,249.21281006114668,171.7275945315269
2023-04-26,425.9158009841444,248.1441479854009,177.77165299874352
2023-04-27,431.21924548933845,247.93042966544186,183.28881582389658
2023-05-02,436.85073810825594,251.56387015158495,185.286867956671
2023-05-03,438.1629305631493,250.49522569482681,187.6677048683225
2023-05-04,437.7255330781848,251.13643351166687,186.58909956651794
2023-05-08,431.9300164024057,253.3806520611132,178.54936434129252
2023-05-09,433.57025697102245,254.12868379995754,179.4415731710649
2023-05-10,424.9316566429743,251.77764132850692,173.1540153144674
2023-05-11,429.4149808638601,251.24329267164637,178.1716881922137
2023-05-15,430.23510114816844,250.49522569482681,179.73987545334163
2023-05-16,436.7960634226353,253.4874936021051,183.3085698205302
2023-05-17,442.15418261345,257.65528274510876,184.49889986834125
2023-05-18,448.4964461454347,261.0750401492681,187.42140599616658
2023-05-22,452.4876981957354,261.39561762920664,191.09208056652875
2023-05-23,449.69928922908696,261.18188169025996,188.517407538827
2023-05-24,458.9393110989612,259.89948367556747,199.03982742339372
2023-05-25,466.0470202296337,262.99862836181296,203.04839186782073
2023-05-29,473.70147621651176,270.90673476992686,202.7947414465849
2023-05-30,471.13176599234555,270.90673476992686,200.2250312224187
2023-05-31,472.33460907599783,269.62433675523437,202.71027232076347
2023-06-01,475.28704209950797,267.4870126037428,207.80002949576516
2023-06-05,477.4193548387097,270.05180863312773,207.36754620558196
2023-06-06,484.0349917987972,270.7998579909597,213.23513380783749
2023-06-07,472.1705850191362,273.79214351722567,198.37844150191052
2023-06-08,484.0349917987972,271.12047070887354,212.91452108992365
2023-06-12,499.4532531437944,275.7157141107829,223.7375390330115
2023-06-13,496.99289229086935,281.1659541254419,215.82693816542746
2023-06-14,505.686167304538,281.0590597274871,224.62710757705088
2023-06-15,507.92782941498086,281.91398586428625,226.01384355069462
2023-06-19,507.59978130125756,280.5247286896142,227.07505261164334
2023-06-20,506.8343357025697,279.0286123549627,227.805723347607
2023-06-26,487.26079825041006,277.3187072244016,209.94209102600848
2023-06-27,487.04209950792784,275.50199579082386,211.540103717104
2023-06-28,496.4461454346638,275.92948528770484,220.51666014695894
2023-06-29,506.2329141607436,275.8226085087377,230.4103056520059
2023-07-03,532.6954620010936,279.3492074538889,253.3462545472047
2023-07-04,526.7905959540733,279.9903976517413,246.80019830233198
2023-07-05,520.776380535812,279.56294339283556,241.21343714297643
2023-07-06,511.5363586659377,273.3646892583199,238.1716694076178
2023-07-10,521.9245489338437,272.40286872356603,249.52168021027762
2023-07-11,532.2033898305085,276.1432036076639,256.0601862228446
2023-07-12,544.2318206670312,276.6775170265492,267.55430364048203
2023-07-13,558.1738655002735,279.776644093807,278.39722140646643
2023-07-17,548.9885183160197,282.12773942222054,266.8607788937992
2023-07-18,544.4505194095134,281.5855855538397,262.8649338556737
2023-07-19,550.4647348277748,279.2001860565094,271.2645487712654
2023-07-20,565.3362493165664,280.5013306740408,284.8349186425256
2023-07-24,570.3663203936578,275.9473685601499,294.4189518335079
2023-07-25,563.1492618917441,279.41704055626667,283.73222133547745
2023-07-26,560.9075997813013,278.65806742610374,282.2495323551976
2023-07-27,569.3821760524877,280.82661242367675,288.55556362881094
2023-07-31,536.0852925095681,279.30861330638805,256.7766792031801
2023-08-01,509.9507927829415,280.71814993582285,229.23264284711865
2023-08-07,532.8594860579552,278.65806742610374,254.20141863185148
2023-08-08,526.0251503553854,275.405214691769,250.61993566361645
2023-08-09,499.4532531437944,275.83894131027125,223.61431183352317
