index,date,strategy_equity,benchmark_equity
224,2017-05-03,130.0184644967924,123.98834340398399
225,2017-05-04,130.35964314178094,124.15245863134788
226,2017-05-05,129.83317143298092,123.33189080879087
227,2017-05-08,129.71292774647648,124.2345120878986
228,2017-05-09,128.74505330637345,124.64475442786463
229,2017-05-10,129.8509834912961,125.1371333670063
230,2017-05-11,130.33206110530236,125.5474255925473
231,2017-05-12,130.76235382456144,125.21922839486948
232,2017-05-15,131.38986821308896,125.5474255925473
233,2017-05-16,130.84581479349592,125.5474255925473
234,2017-05-17,130.83394509261635,125.21922839486948
235,2017-05-18,130.157013148701,124.56275917115137
236,2017-05-19,130.18629658225333,124.48065582902571
237,2017-05-22,130.42357729377892,124.808911226541
238,2017-05-23,130.63745544205918,125.30124859437022
239,2017-05-24,131.64052284575016,125.21922839486949
240,2017-05-25,132.15186480407007,126.36796847231686
241,2017-05-26,132.07689001535545,126.28593995855364
242,2017-05-31,131.58867604637325,125.54742559254733
243,2017-06-01,132.15337580190592,126.20388650200294
244,2017-06-02,132.96228788327184,126.69622386983215
245,2017-06-05,134.55724038239742,128.00913737448084
246,2017-06-06,134.6348944692528,127.92709223219263
247,2017-06-07,134.45475135802226,127.92709223219263
248,2017-06-08,135.09788000768881,128.41942128575937
249,2017-06-09,135.16119578323503,128.00913737448087
250,2017-06-12,134.9144274499321,126.61415378475647
251,2017-06-13,134.83201697018396,126.77827732638288
252,2017-06-14,133.68615934316142,126.12181641692727
253,2017-06-15,133.31902025287852,126.20388650200296
254,2017-06-16,133.98727789199253,127.51675843533921
255,2017-06-19,135.81400703228047,128.91179191063858
256,2017-06-20,136.2795087128572,130.38878738560123
257,2017-06-21,136.96955710803854,130.5529109272276
258,2017-06-22,137.92433751912588,130.8811580104804
259,2017-06-23,137.4953513331788,130.7990796111422
260,2017-06-26,139.37998504806905,133.58902184780354
261,2017-06-27,139.90562695017022,133.42490662043963
262,2017-06-28,138.48896860305283,132.1940632008666
263,2017-06-29,138.67519456678104,132.3581784282305
264,2017-06-30,138.28630909301162,131.947894516952
265,2017-07-03,137.96017168292,132.0299562877652
266,2017-07-04,138.07857513767325,131.2914336074964
267,2017-07-05,138.5062536149839,132.5222936555944
268,2017-07-06,139.1965850329261,131.947894516952
269,2017-07-07,138.62497508551007,131.20936352242072
270,2017-07-10,138.97075254904593,131.86581611761383
271,2017-07-11,141.55352266405123,133.83522378876813
272,2017-07-12,142.1062422007637,133.83522378876813
273,2017-07-13,143.3207197440739,134.90195198097726
274,2017-07-14,143.85379173410914,134.6557500400127
275,2017-07-17,144.51093340633295,134.90195198097726
276,2017-07-18,145.92254419986327,135.23015749291758
277,2017-07-19,146.21711720732188,135.7225031750093
278,2017-07-20,146.5524573054597,135.6404414041961
279,2017-07-21,146.4407617526316,134.7377951823009
280,2017-07-24,146.95645198872114,135.0660422655537
281,2017-07-25,147.2819830820175,135.3122109494683
282,2017-07-26,147.32624852702222,134.8198735816391
283,2017-07-27,149.12522793843783,136.2148737998885
284,2017-07-28,146.76828589336657,134.7377951823009
285,2017-07-31,146.7696779993034,134.65504332770072
286,2017-08-01,146.96444753233,135.39991810451474
287,2017-08-02,147.94332614677683,136.5586020399046
288,2017-08-03,147.1569008256002,136.0620077696786
289,2017-08-04,148.11989661178927,136.31031321905408
290,2017-08-07,149.74566027050727,137.30347681671861
