rebalance_date,rank,symbol,name,score,residual_z,momentum,volatility
2024-03-08,25,2002.TW,中鋼,1.3827831582541008,-1.4833238813401761,-0.22516256369275656,0.14489217195740417
2024-03-08,26,2882.TW,國泰金,1.379958006608203,-1.39228312145077,0.029995268363345096,0.15215639179825272
2024-03-08,27,4904.TW,遠傳,1.3634455175593867,-1.3286295044184249,0.16531997230457796,0.15363984777093562
2024-03-08,28,9910.TW,豐泰,1.2944835190421375,-1.3246322194568583,0.02115837179777169,0.2503608702929392
2024-03-08,29,2356.TW,英業達,1.1774517832577627,-0.8566421087890741,1.1353304041844758,0.5103731133058532
2024-03-08,30,3406.TW,玉晶光,1.1538027181651915,-1.1715416309486941,0.06447208881869693,0.2686942924669756
2024-06-11,1,1102.TW,亞泥,3.1545231396037137,-3.1807794024379907,-0.005921370573205853,0.16122522089103342
2024-06-11,2,1326.TW,台化,2.5673912491803597,-2.6765980134533462,-0.23357223797337756,0.18304320654869613
2024-06-11,3,1303.TW,南亞,2.469074849691886,-2.614070916165964,-0.3288729575125314,0.19927020896461237
2024-06-11,4,3324.TWO,雙鴻,2.2931717944616503,-1.7988219052468064,1.678696184459635,0.6212918356401919
2024-06-11,5,1590.TW,亞德客-KY,2.180612844228475,-2.2323107506476125,-0.0009478873259050058,0.3424409723671364
2024-06-11,6,1301.TW,台塑,2.102553010328945,-2.228567674269809,-0.2973335215691031,0.1463195426111844
2024-06-11,7,2049.TW,上銀,1.899854878987943,-1.9666466893519758,-0.05498800647528668,0.3169733873178829
2024-06-11,8,3017.TW,奇鋐,1.8951101186810735,-1.282590476010718,2.019751015161297,0.6292880842406564
2024-06-11,9,2886.TW,兆豐金,1.7284136794400642,-1.7044906491081513,0.13623250700344247,0.15838898079527935
2024-06-11,10,2885.TW,元大金,1.6841331394275467,-1.5631336928760353,0.4206477195544893,0.17484836861706546
2024-06-11,11,6274.TWO,台燿,1.62950808002075,-1.249724298381142,1.3282666176903635,0.567396897013462
2024-06-11,12,2891.TW,中信金,1.3648782162536528,-1.185568549165443,0.6049444809174211,0.2161393415525841
2024-06-11,13,2356.TW,英業達,1.3203810617830465,-1.1862372605732059,0.6052114143187668,0.5178679586781855
