portfolio,weights,invested,ending_value,gain,return_on_invested,cagr,volatility,sharpe,max_drawdown
Grid_SP025_TW035_AZ040,"sp500 25%, 0050 35%, allianz 40%",1000000.0,11225125.84882654,10225125.84882654,10.22512584882654,0.27385457959807824,0.18137083912085306,1.8609519042766862,-0.2911237816575776
Grid_SP000_TW080_AZ020,"sp500 0%, 0050 80%, allianz 20%",1000000.0,11212005.596230716,10212005.596230716,10.212005596230716,0.2737054665309062,0.2038582498205595,1.6751773864252717,-0.3389741281377029
Grid_SP040_TW005_AZ055,"sp500 40%, 0050 5%, allianz 55%",1000000.0,11187354.844934996,10187354.844934996,10.187354844934996,0.27342488295412726,0.19171559510203215,1.7684127841861526,-0.27553417521374923
Grid_SP020_TW045_AZ035,"sp500 20%, 0050 45%, allianz 35%",1000000.0,11167660.514185982,10167660.514185982,10.167660514185982,0.2732003150120965,0.1824006025834852,1.8476863748294465,-0.2995177753912729
Grid_SP015_TW055_AZ030,"sp500 15%, 0050 55%, allianz 30%",1000000.0,11075749.308276959,10075749.308276959,10.07574930827696,0.2721475460981102,0.18567478464310494,1.8123936888522352,-0.30801925982855183
Grid_SP010_TW065_AZ025,"sp500 10%, 0050 65%, allianz 25%",1000000.0,10950220.712473137,9950220.712473137,9.950220712473138,0.27069694352216356,0.19107804366733772,1.7585092516601455,-0.3166221545480642
Grid_SP005_TW075_AZ020,"sp500 5%, 0050 75%, allianz 20%",1000000.0,10792207.701918857,9792207.701918857,9.792207701918857,0.26884952670068496,0.19843653691102192,1.690763266245419,-0.32626117795047227
Grid_SP035_TW020_AZ045,"sp500 35%, 0050 20%, allianz 45%",1000000.0,10763757.231720978,9763757.231720978,9.763757231720978,0.26851431332676756,0.18085107262719205,1.8350114674741929,-0.27389871588838555
Grid_SP030_TW030_AZ040,"sp500 30%, 0050 30%, allianz 40%",1000000.0,10753223.593879156,9753223.593879156,9.753223593879156,0.2683900000447892,0.17882674326064274,1.8529694487860628,-0.2797342232524077
Grid_SP040_TW010_AZ050,"sp500 40%, 0050 10%, allianz 50%",1000000.0,10740660.594420848,9740660.594420848,9.740660594420849,0.26824159377675505,0.18511014052620856,1.7955099138227582,-0.2700680651132773
Grid_SP025_TW040_AZ035,"sp500 25%, 0050 40%, allianz 35%",1000000.0,10709136.531192519,9709136.531192519,9.709136531192518,0.2678685122233222,0.17911293931494315,1.847198716437183,-0.2879515645122537
Grid_SP045_TW000_AZ055,"sp500 45%, 0050 0%, allianz 55%",1000000.0,10684169.57378397,9684169.57378397,9.68416957378397,0.26757233084245113,0.1914548643176459,1.7386363827230127,-0.27697387309972343
Grid_SP020_TW050_AZ030,"sp500 20%, 0050 50%, allianz 30%",1000000.0,10631884.770907443,9631884.770907443,9.631884770907442,0.26695005633270097,0.1816987431021413,1.8181407624053898,-0.29653231066216323
Grid_SP000_TW085_AZ015,"sp500 0%, 0050 85%, allianz 15%",1000000.0,10603090.154966509,9603090.154966509,9.603090154966509,0.2666061764969936,0.20752881283461652,1.613450844115783,-0.3386127072417684
Grid_SP015_TW060_AZ025,"sp500 15%, 0050 60%, allianz 25%",1000000.0,10522163.254622841,9522163.254622841,9.522163254622841,0.26563518697790944,0.18648852176417208,1.7687447350830583,-0.3052174961375377
Grid_SP010_TW070_AZ020,"sp500 10%, 0050 70%, allianz 20%",1000000.0,10380962.792716874,9380962.792716874,9.380962792716874,0.2639248063743489,0.19331852354263152,1.7036509730178406,-0.3140009500799411
Grid_SP035_TW025_AZ040,"sp500 35%, 0050 25%, allianz 40%",1000000.0,10294092.158391902,9294092.158391902,9.294092158391901,0.2628620986699912,0.17676078124027497,1.8397665650249506,-0.2688272702172243
Grid_SP040_TW015_AZ045,"sp500 40%, 0050 15%, allianz 45%",1000000.0,10293626.378860043,9293626.378860043,9.293626378860044,0.26285637896696157,0.17956791964172186,1.813808815468941,-0.26905647668159105
